theta	vel_limit	forward	backward	final
0.5885	3.0829109670804042	2.843124211296861	2.8118161907391457	2.8118161907391457
0.58875	3.07518792714665	2.8448498450909665	2.809485854055838	2.809485854055838
0.589	3.0675108688097388	2.8465684543030996	2.8071432349297556	2.8071432349297556
0.58925	3.0598794049232723	2.8482801119076093	2.8047882112609557	2.8047882112609557
0.5895	3.0522931526496144	2.8499848899175295	2.8024206593904077	2.8024206593904077
0.58975	3.0447517334310255	2.8516828594105657	2.8000404540616435	2.8000404540616435
0.59	3.0372547729165555	2.8533740905400613	2.7976474683997514	2.7976474683997514
0.59025	3.0298019009065342	2.85505865255101	2.7952415738742027	2.7952415738742027
0.5905	3.0223927512849813	2.8567366137915227	2.7928226402822123	2.7928226402822123
0.59075	3.0150269619661683	2.858408041728267	2.7903905357092733	2.7903905357092733
0.591	3.007704174854898	2.8600730029659593	2.78794512650176	2.78794512650176
0.59125	3.000424035779383	2.86173156325714	2.785486277246007	2.785486277246007
0.5915	2.9931861944303653	2.8633837875134573	2.7830138507147364	2.7830138507147364
0.59175	2.9859903043302176	2.865029739826352	2.780527707857244	2.780527707857244
0.592	2.9788360227461648	2.8666694834685824	2.778027707758743	2.778027707758743
0.59225	2.971723010692043	2.868303080924775	2.775513707598102	2.775513707598102
0.5925	2.964650932819467	2.8699305938844764	2.772985562628823	2.772985562628823
0.59275	2.957619457404924	2.8715520832667267	2.770443126131163	2.770443126131163
0.593	2.9506282563040473	2.87316760923333	2.7678862493829257	2.7678862493829257
0.59325	2.9436770048666268	2.8747772311881143	2.7653147816225334	2.7653147816225334
0.5935	2.936765381949951	2.876381007809193	2.762728570006593	2.762728570006593
0.59375	2.9298930697997174	2.8779789970356826	2.760127459575709	2.760127459575709
0.594	2.923059754078018	2.8795712561040263	2.7575112932124877	2.7575112932124877
0.59425	2.916265123741635	2.8811578415328034	2.7548799116109315	2.7548799116109315
0.5945	2.9095088710847747	2.882738809163281	2.752233153210313	2.752233153210313
0.59475	2.9027906916228883	2.884314214145186	2.749570854185135	2.749570854185135
0.595	2.896110284081302	2.8858841109578406	2.746892848376587	2.746892848376587
0.59525	2.889467350345841	2.8874485534179444	2.7441989672607487	2.7441989672607487
0.5955	2.882861595427757	2.8852341325449955	2.7414890399014746	2.7414890399014746
0.59575	2.876292727433773	2.8830077071185225	2.738762892899498	2.738762892899498
0.596	2.8697604574868194	2.880769157676526	2.736020350345607	2.736020350345607
0.59625	2.863264499729823	2.8785183632436633	2.73326123378301	2.73326123378301
0.5965	2.8568045712603336	2.8762552012848572	2.730485362136748	2.730485362136748
0.59675	2.850380392105583	2.8739795476968912	2.7276925516805197	2.7276925516805197
0.597	2.843991685176046	2.8716912767712395	2.724882615973932	2.724882615973932
0.59725	2.837638176231214	2.8693902611719855	2.7220553658141866	2.7220553658141866
0.5975	2.8313195938527818	2.867076371906349	2.719210609179549	2.719210609179549
0.59775	2.8250356693850254	2.864749478290936	2.7163481511678067	2.7163481511678067
0.598	2.818786136933455	2.8624094479321007	2.713467793947995	2.713467793947995
0.59825	2.8125707332974064	2.8600561466796792	2.710569336684667	2.710569336684667
0.5985	2.8063891979455	2.8576894386199356	2.7076525755005267	2.7076525755005267
0.59875	2.800241272999354	2.8553091860204733	2.7047173033900873	2.7047173033900873
0.599	2.794126703177381	2.852915249310694	2.7017633101679768	2.7017633101679768
0.59925	2.7880452357778385	2.850507487051838	2.6987903824058708	2.6987903824058708
0.5995	2.7819966206180897	2.8480857558882002	2.6957983033495516	2.6957983033495516
0.59975	2.7759806100566933	2.845649910529682	2.6927868528663486	2.6927868528663486
0.6	2.769996958913507	2.843199803709486	2.6897558073665784	2.6897558073665784
0.60025	2.7640454244522235	2.84073528614244	2.6867049397245495	2.6867049397245495
0.6005	2.758125766348787	2.8382562065010393	2.683634019216128	2.683634019216128
0.60075	2.7522377466726353	2.8357624113629	2.6805428114265073	2.6805428114265073
0.601	2.746381129873	2.83325374518405	2.6774310781826087	2.6774310781826087
0.60125	2.7405556826777406	2.8307300502614248	2.6742985774734054	2.6742985774734054
0.6015	2.7347611741463265	2.8281911666748862	2.6711450633483875	2.6711450633483875
0.60175	2.728997375609991	2.8256369322626367	2.6679702858481407	2.6679702858481407
0.602	2.723264060625809	2.823067182576078	2.664773990912865	2.664773990912865
0.60225	2.7175610049846943	2.820481750830203	2.6615559202849837	2.6615559202849837
0.6025	2.7118879866493115	2.8178804678668703	2.65831581142308	2.65831581142308
0.60275	2.7062447857585927	2.815263162105888	2.6550533974020687	2.6550533974020687
0.603	2.700631184578997	2.812629659490037	2.6517684068056	2.6517684068056
0.60325	2.695046967485708	2.809979783462287	2.648460563649043	2.648460563649043
0.6035	2.6894919209492087	2.80731335488845	2.645129587245963	2.645129587245963
0.60375	2.683965833483336	2.8046301920159316	2.641775192108979	2.641775192108979
0.604	2.6784684956480436	2.8019301104442675	2.638397087860427	2.638397087860427
0.60425	2.672999700017435	2.79921292303425	2.634994979079559	2.634994979079559
0.6045	2.6675592411317925	2.796478439886676	2.6315685652173664	2.6315685652173664
0.60475	2.6621469155116304	2.7937264682734906	2.6281175404615715	2.6281175404615715
0.605	2.6567625216285555	2.790956812577798	2.6246415936082284	2.6246415936082284
0.60525	2.6514058598224337	2.7881692742498685	2.621140407947028	2.621140407947028
0.6055	2.6460767323774452	2.7853636517328915	2.6176136611138254	2.6176136611138254
0.60575	2.640774943433738	2.782539740408094	2.6140610249600638	2.6140610249600638
0.606	2.635500298963497	2.779697332532734	2.6104821654123764	2.6104821654123764
0.60625	2.6302526067875913	2.7768362171804144	2.606876742331802	2.606876742331802
0.6065	2.625031676515961	2.773956180168351	2.603244409357016	2.603244409357016
0.60675	2.6198373195598528	2.77105700399028	2.599584813750272	2.599584813750272
0.607	2.6146693490835795	2.768138467748254	2.5958975962390642	2.5958975962390642
0.60725	2.6095275799906044	2.7652003470901265	2.5921823908602946	2.5921823908602946
0.6075	2.6044118289228657	2.762242414124901	2.5884388247788146	2.5884388247788146
0.60775	2.599321914210417	2.7592644373482367	2.584666518112681	2.584666518112681
0.608	2.5942576558795496	2.7562661815794804	2.5808650837662075	2.5808650837662075
0.60825	2.58921887561702	2.753247407863212	2.577034127223667	2.577034127223667
0.6085	2.584205396734656	2.7502078734050897	2.5731732463733095	2.5731732463733095
0.60875	2.5792170442000475	2.7471473314807113	2.5692820313001787	2.5692820313001787
0.609	2.5742536445810282	2.744065531345815	2.565360064075862	2.565360064075862
0.60925	2.5693150260135784	2.7409622181593645	2.561406918556612	2.561406918556612
0.6095	2.564401018229977	2.737837132884824	2.5574221601547835	2.5574221601547835
0.60975	2.5595114525052978	2.734690012203019	2.55340534561694	2.55340534561694
0.61	2.5546461616438685	2.7315205884099782	2.549356022781616	2.549356022781616
0.61025	2.5498049799819116	2.728328589321534	2.5452737303384496	2.5452737303384496
0.6105	2.5449877433405304	2.7251137381818973	2.541157997585511	2.541157997585511
0.61075	2.540194289039176	2.7218757535409446	2.5370083441493465	2.5370083441493465
0.611	2.5354244558571204	2.7186143491581167	2.532824279725364	2.532824279725364
0.61125	2.530678084023117	2.715329233904442	2.5286053038098166	2.5286053038098166
0.6115	2.5259550152049193	2.7120201116311997	2.5243509053914237	2.5243509053914237
0.61175	2.521255092482252	2.7086866810464936	2.5200605626437587	2.5200605626437587
0.612	2.516578160352201	2.705328635627066	2.5157337426453337	2.5157337426453337
0.61225	2.51192406467611	2.7019456634751924	2.511369901036747	2.511369901036747
0.6125	2.5072926527017665	2.698537447178637	2.506968481672559	2.506968481672559
0.61275	2.502683773046706	2.695103663707787	2.502528916301703	2.502528916301703
0.613	2.4980972756298145	2.6916439842610522	2.4980506241868414	2.4980506241868414
0.61325	2.4935330117395833	2.688158074135652	2.4935330117395833	2.4935330117395833
0.6135	2.4889908339490123	2.6846455925812474	2.4889908339490123	2.4889908339490123
0.61375	2.484470596136129	2.681106192646562	2.484470596136129	2.484470596136129
0.614	2.47997215348077	2.6775395210389625	2.47997215348077	2.47997215348077
0.61425	2.475495362393577	2.6739452179636953	2.475495362393577	2.475495362393577
0.6145	2.471040080570474	2.67032291695318	2.471040080570474	2.471040080570474
0.61475	2.466606166951407	2.6666722447111924	2.466606166951407	2.466606166951407
0.615	2.4621934816846407	2.6629928209392797	2.4621934816846407	2.4621934816846407
0.61525	2.457801886146967	2.6592842581468203	2.457801886146967	2.457801886146967
0.6155	2.453431242914709	2.6555461614922184	2.453431242914709	2.453431242914709
0.61575	2.449081415747806	2.6517781285646094	2.449081415747806	2.449081415747806
0.616	2.444752269598819	2.647979749208587	2.444752269598819	2.444752269598819
0.61625	2.440443670566658	2.6441506053200032	2.440443670566658	2.440443670566658
0.6165	2.4361554858987513	2.6402902706218003	2.4361554858987513	2.4361554858987513
0.61675	2.431887584000996	2.6363983104724356	2.431887584000996	2.431887584000996
0.617	2.427639834393848	2.6324742816189812	2.427639834393848	2.427639834393848
0.61725	2.4234121077131325	2.6285177319871287	2.4234121077131325	2.4234121077131325
0.6175	2.4192042756847743	2.624528200427762	2.4192042756847743	2.4192042756847743
0.61775	2.4150162111609235	2.620505216479322	2.4150162111609235	2.4150162111609235
0.618	2.410847788043276	2.6164483001085936	2.410847788043276	2.410847788043276
0.61825	2.406698881292526	2.612356961446618	2.406698881292526	2.406698881292526
0.6185	2.4025693669715595	2.608230700521815	2.4025693669715595	2.4025693669715595
0.61875	2.3984591221433256	2.6040690069643526	2.3984591221433256	2.3984591221433256
0.619	2.3943680249293595	2.599871359728797	2.3943680249293595	2.3943680249293595
0.61925	2.390295954473479	2.5956372267785035	2.390295954473479	2.390295954473479
0.6195	2.3862427909180544	2.5913660647688896	2.3862427909180544	2.3862427909180544
0.61975	2.3822084154236407	2.5870573187445673	2.3822084154236407	2.3822084154236407
0.62	2.378192710151333	2.5827104217703947	2.378192710151333	2.378192710151333
0.62025	2.374195558211316	2.5783247945955385	2.374195558211316	2.374195558211316
0.6205	2.3702168437180156	2.573899845300389	2.3702168437180156	2.3702168437180156
0.62075	2.366256451735915	2.56943496889818	2.366256451735915	2.366256451735915
0.621	2.3623142682765295	2.5649295469572535	2.3623142682765295	2.3623142682765295
0.62125	2.358390180300598	2.560382947186126	2.358390180300598	2.358390180300598
0.6215	2.354484075698099	2.5557945230287133	2.354484075698099	2.354484075698099
0.62175	2.35059584328944	2.551163613197929	2.35059584328944	2.35059584328944
0.622	2.3467253727873683	2.5464895412379973	2.3467253727873683	2.3467253727873683
0.62225	2.3428725548397624	2.5417716150522196	2.3428725548397624	2.3428725548397624
0.6225	2.339037280959163	2.5370091264044623	2.339037280959163	2.339037280959163
0.62275	2.3352194435653155	2.5322013503961918	2.3352194435653155	2.3352194435653155
0.623	2.3314189359501594	2.527347544950772	2.3314189359501594	2.3314189359501594
0.62325	2.327635652262506	2.5224469502583955	2.327635652262506	2.327635652262506
0.6235	2.3238694875215167	2.5174987881674857	2.3238694875215167	2.3238694875215167
0.62375	2.3201203375978414	2.5125022616244004	2.3201203375978414	2.3201203375978414
0.624	2.3163880991943695	2.5074565540179634	2.3163880991943695	2.3163880991943695
0.62425	2.3126726698566724	2.502360828523922	2.3126726698566724	2.3126726698566724
0.6245	2.3089739479555185	2.497214227445377	2.3089739479555185	2.3089739479555185
0.62475	2.3052918326695364	2.4920158714748073	2.3052918326695364	2.3052918326695364
0.625	2.3016262239906355	2.486764858965431	2.3016262239906355	2.3016262239906355
0.62525	2.297977022720622	2.481460265145182	2.297977022720622	2.297977022720622
0.6255	2.294344130439777	2.4761011413221814	2.294344130439777	2.294344130439777
0.62575	2.290727449517519	2.47068651401942	2.290727449517519	2.290727449517519
0.626	2.2871268831156195	2.4652153840987037	2.2871268831156195	2.2871268831156195
0.62625	2.2835423351368056	2.4596867258412085	2.2835423351368056	2.2835423351368056
0.6265	2.279973710265832	2.4540994859529937	2.279973710265832	2.279973710265832
0.62675	2.276420913943481	2.4484525825931716	2.276420913943481	2.276420913943481
0.627	2.2728838523440307	2.442744904272091	2.2728838523440307	2.2728838523440307
0.62725	2.2693624323923154	2.436975308748366	2.2693624323923154	2.2693624323923154
0.6275	2.2658565617368582	2.4311777706541418	2.2658565617368582	2.2658565617368582
0.62775	2.262366148759106	2.4253709437420095	2.262366148759106	2.262366148759106
0.628	2.258891102556757	2.4195546670012735	2.258891102556757	2.258891102556757
0.62825	2.255431332940594	2.41372877740783	2.255431332940594	2.255431332940594
0.6285	2.2519867504137174	2.407893109872823	2.2519867504137174	2.2519867504137174
0.62875	2.2485572661947795	2.4020474972097263	2.2485572661947795	2.2485572661947795
0.629	2.245142792180926	2.396191770073252	2.245142792180926	2.245142792180926
